PM2.5,NO,NO2,NOx,CO,SO2,O3,AQI,AQI_Bucket
83.13,6.93,28.71,33.72,6.93,49.52,59.76,209,Poor
79.84,13.85,28.68,41.08,13.85,48.49,97.07,328,Very Poor
94.52,24.39,32.66,52.61,24.39,67.39,111.33,514,Severe
135.99,43.48,42.08,84.57,43.48,75.23,102.7,782,Severe
178.33,54.56,35.31,72.8,54.56,55.04,107.38,914,Severe
139.7,30.61,28.4,56.73,30.61,33.79,73.6,660,Severe
80.65,2.37,22.83,24,2.37,25.73,47.3,294,Poor
58.36,2.6,21.39,23.31,2.6,32.66,53.54,149,Moderate
79.29,1.16,26.94,26.83,1.16,67.41,59.3,190,Moderate
88.7,7.29,31.32,37.73,7.29,80.09,44.76,247,Poor
74.28,8.92,27.3,33.42,8.92,54.28,47.42,379,Very Poor
113.93,4.32,24.27,26.86,4.32,48.73,39.94,341,Very Poor
105.39,1.41,18.21,18.75,1.41,35.91,56.15,256,Poor
66.52,6.34,23.8,28.24,6.34,66.58,53.14,388,Very Poor
65.04,14.19,30.1,44.21,14.19,65.91,31.88,288,Poor
103.36,18.18,39.56,57.33,18.18,80.43,40.11,510,Severe
177.33,37.49,47.58,77.85,37.49,99.72,36.47,761,Severe
113.25,15.55,30.5,44.87,15.55,69.71,33.78,475,Severe
99.7,19.85,28.1,47.31,19.85,73.23,30.57,536,Severe
80.61,15.96,21.04,35.67,15.96,54.7,36.2,479,Severe
100.79,16.24,25.93,41.91,16.24,43.11,37.43,592,Severe
107.99,11.25,30.09,40.47,11.25,84.86,31.94,427,Severe
140.29,33.84,36.14,68.85,33.84,101.53,40.98,588,Severe
239.96,61.95,46.25,106.92,61.95,84.87,33.55,1141,Severe
142.96,45.45,48.21,92.32,45.45,62.96,34.77,669,Severe
238.41,77.7,55.07,131.32,77.7,89.07,37.3,1247,Severe
118.72,12.56,32.01,42.56,12.56,61.54,38.8,411,Severe
52.99,2.23,10.45,10.39,2.23,32.76,67.25,292,Poor
60.78,9.07,18.21,27.34,9.07,29.48,34.75,189,Moderate
91.83,12.99,28.71,40.76,12.99,39.71,38.46,408,Severe
93.88,18.21,29.38,47.01,18.21,62.75,46.79,383,Very Poor
173.01,48.44,42.27,90.73,48.44,78.76,59.39,780,Severe
71.56,3.51,16.83,20.32,3.51,30.28,57.16,190,Moderate
