PM2.5,PM10,NO2,CO,SO2,O3,AQI,AQI_Bucket
37.55,122.41,85.12,15.08,163.01,48.23,281,Poor
33.97,116.32,79.71,14.67,91.26,51.86,330,Very Poor
35.48,130.07,77.61,18.02,98.35,38.99,356,Very Poor
34.11,138.31,75.23,13.27,88.66,42.22,359,Very Poor
33.69,111.73,68.9,34.56,80.9,36.95,547,Severe
42.31,118.65,81.84,17.47,89.57,46.68,813,Severe
24.6,103.88,81.24,11.03,80.74,46.65,321,Very Poor
27.93,103.3,76.75,11.44,86.48,54.34,270,Poor
41.39,135.65,89.1,14.29,105.96,49.7,323,Very Poor
46.79,148,93.27,14.31,131.04,56.31,344,Very Poor
51.63,156.97,89.18,17.96,134.22,49.62,404,Severe
63.15,177.87,100.08,28.03,122.43,50.32,558,Severe
57.47,163.36,112.68,21.39,143.3,52.19,435,Severe
50.27,156.63,103.05,21.02,118.55,49.86,440,Severe
42.02,140.66,71.51,16.43,82.75,52.44,374,Very Poor
48.74,153.69,91.02,19.89,138.12,52.86,515,Severe
46.51,136.34,85.37,16.75,145.55,44.53,360,Very Poor
48.1,142.06,70.71,23.83,142.52,40.22,467,Severe
41.38,119.91,70.35,21.8,134.76,41.5,402,Severe
46.46,134.2,74.31,22.33,137.83,47.63,419,Severe
39.68,117.51,77.12,20.89,139.31,71.62,408,Severe
38.27,113.84,61.74,18.87,112.15,82.73,402,Severe
35.06,127.56,68.94,12.63,101.14,75.71,303,Very Poor
30.07,124.01,122.88,15.49,31.67,70.29,354,Very Poor
48.74,135.9,154.42,16.38,58.6,73.95,358,Very Poor
35.3,120.77,146.65,15.2,127.62,81.55,324,Very Poor
34.31,115.46,127.02,16.31,121.46,80.39,360,Very Poor
33.97,107.59,135.26,15.38,100.23,90.29,348,Very Poor
41.08,156.33,140.5,12.8,91.23,85.2,333,Very Poor
25.56,77.07,120.8,13.75,58.37,88.79,321,Very Poor
26.75,103.12,112.66,14.4,60.94,77.88,338,Very Poor
32.71,96.84,116.69,18.89,48.67,53.57,369,Very Poor
32.79,107.15,103.69,25.17,30.37,30.45,397,Very Poor
28.02,104.64,115.78,25.92,42.55,21.04,414,Severe
26.92,72.7,130.64,22.25,25.9,24.37,363,Very Poor
69.38,171.87,145.75,19.2,37.85,7.21,371,Very Poor
42.08,125.62,155.72,30.2,33.25,41.97,565,Severe
35.67,103.64,147.44,18.86,25.28,74.84,348,Very Poor
63.09,152.67,163.54,12.65,26.31,113.94,184,Moderate
46.13,102.66,146.55,14.35,39.92,108.07,328,Very Poor
57.49,115.42,277.31,21.05,37.43,101.47,440,Severe
49.23,97.91,174.15,19.38,20.97,90.33,411,Severe
70.03,136.54,213.58,24.95,28.94,52.14,469,Severe
60.03,109.4,176.24,25.55,35.87,52.95,436,Severe
49.43,102.77,164.64,29.88,44.06,31.31,517,Severe
59.63,112.5,184.07,41.59,38.49,21.31,640,Severe
53.13,117.3,107.86,29.06,30.43,43.43,465,Severe
43.22,104.74,168.15,28.45,40.42,69.91,486,Severe
44.75,114.84,119.51,24.72,48.21,58.82,446,Severe
44.27,96.61,118.73,24.13,47.13,49.16,426,Severe
47.77,102.68,144.03,39.11,44.8,21.77,534,Severe
47.88,116.88,106.12,37.12,35.22,23.22,610,Severe
47.71,100.89,171.04,34.67,40.63,21.04,491,Severe
